time;gFx;gFy;gFz;TgF
0,621000;-0,1533;0,7945;0,5697;0,990
0,627000;-0,1528;0,7910;0,5751;0,990
0,632000;-0,1541;0,7945;0,5741;0,992
0,637000;-0,1543;0,8035;0,5695;0,997
0,643000;-0,1558;0,8023;0,5729;0,998
0,647000;-0,1614;0,7986;0,5707;0,995
0,652000;-0,1621;0,7949;0,5705;0,992
0,657000;-0,1614;0,7945;0,5707;0,991
0,662000;-0,1626;0,7967;0,5641;0,990
0,668000;-0,1560;0,7984;0,5583;0,987
0,674000;-0,1548;0,7957;0,5548;0,982
0,677000;-0,1550;0,7974;0,5551;0,984
0,683000;-0,1472;0,7976;0,5595;0,985
0,688000;-0,1458;0,7954;0,5585;0,983
0,693000;-0,1453;0,7964;0,5556;0,982
0,698000;-0,1458;0,7927;0,5600;0,981
0,704000;-0,1426;0,7915;0,5656;0,983
0,719000;-0,1445;0,7891;0,5671;0,982
0,720000;-0,1445;0,7901;0,5719;0,986
0,721000;-0,1436;0,7876;0,5724;0,984
0,724000;-0,1436;0,7930;0,5783;0,992
0,728000;-0,1418;0,7952;0,5881;0,999
0,733000;-0,1379;0,7908;0,5925;0,998
0,739000;-0,1421;0,7881;0,5927;0,996
0,743000;-0,1423;0,7901;0,5954;0,999
0,749000;-0,1338;0,7879;0,5974;0,998
0,753000;-0,1316;0,7825;0,5978;0,993
0,759000;-0,1291;0,7837;0,5925;0,991
0,764000;-0,1250;0,7844;0,5873;0,988
0,768000;-0,1203;0,7803;0,5886;0,985
0,774000;-0,1196;0,7747;0,5900;0,981
0,779000;-0,1174;0,7769;0,5898;0,982
0,784000;-0,1203;0,7805;0,5881;0,985
0,790000;-0,1221;0,7815;0,5910;0,987
0,802000;-0,1230;0,7817;0,5969;0,991
0,803000;-0,1225;0,7817;0,6013;0,994
0,804000;-0,1284;0,7844;0,6042;0,998
0,809000;-0,1355;0,7881;0,6022;1,001
0,814000;-0,1365;0,7800;0,6035;0,996
0,820000;-0,1316;0,7776;0,6035;0,993
0,835000;-0,1262;0,7820;0,5991;0,993
0,836000;-0,1252;0,7830;0,5954;0,992
0,836000;-0,1282;0,7857;0,5927;0,992
0,841000;-0,1326;0,7847;0,5890;0,990
0,849000;-0,1294;0,7898;0,5881;0,993
0,850000;-0,1277;0,7837;0,5876;0,988
0,855000;-0,1269;0,7791;0,5825;0,981
