time;gFx;gFy;gFz;TgF
0,004000;-0,0468;0,1077;0,9741;0,981
0,005000;-0,0500;0,1097;0,9731;0,981
0,005000;-0,0478;0,1111;0,9780;0,985
0,005000;-0,0471;0,1097;0,9831;0,990
0,012000;-0,0475;0,1062;0,9826;0,989
0,016000;-0,0485;0,1072;0,9804;0,987
0,025000;-0,0488;0,1087;0,9802;0,987
0,026000;-0,0466;0,1089;0,9765;0,984
0,031000;-0,0490;0,1097;0,9773;0,985
0,036000;-0,0471;0,1084;0,9770;0,984
0,047000;-0,0475;0,1082;0,9787;0,986
0,049000;-0,0493;0,1089;0,9812;0,988
0,051000;-0,0483;0,1087;0,9802;0,987
0,066000;-0,0480;0,1082;0,9780;0,985
0,067000;-0,0483;0,1065;0,9797;0,987
0,067000;-0,0490;0,1082;0,9802;0,987
0,078000;-0,0490;0,1084;0,9814;0,989
0,079000;-0,0441;0,1097;0,9792;0,986
0,082000;-0,0475;0,1075;0,9792;0,986
0,087000;-0,0480;0,1065;0,9777;0,985
0,092000;-0,0468;0,1082;0,9780;0,985
0,097000;-0,0510;0,1094;0,9792;0,987
0,102000;-0,0488;0,1089;0,9807;0,988
0,108000;-0,0485;0,1102;0,9829;0,990
0,112000;-0,0512;0,1080;0,9799;0,987
0,117000;-0,0461;0,1087;0,9777;0,985
0,134000;-0,0478;0,1092;0,9799;0,987
0,135000;-0,0480;0,1092;0,9799;0,987
0,135000;-0,0480;0,1104;0,9814;0,989
0,139000;-0,0485;0,1075;0,9834;0,990
0,142000;-0,0500;0,1075;0,9773;0,984
0,147000;-0,0480;0,1084;0,9782;0,985
0,153000;-0,0475;0,1084;0,9775;0,985
0,160000;-0,0468;0,1053;0,9775;0,984
0,162000;-0,0488;0,1070;0,9751;0,982
0,168000;-0,0485;0,1092;0,9809;0,988
0,174000;-0,0473;0,1099;0,9817;0,989
0,178000;-0,0493;0,1072;0,9812;0,988
0,183000;-0,0517;0,1094;0,9763;0,984
0,189000;-0,0473;0,1099;0,9799;0,987
0,193000;-0,0463;0,1075;0,9790;0,986
0,199000;-0,0497;0,1087;0,9812;0,988
0,205000;-0,0488;0,1077;0,9817;0,989
0,209000;-0,0458;0,1116;0,9755;0,983
0,214000;-0,0485;0,1075;0,9819;0,989
0,219000;-0,0497;0,1077;0,9809;0,988
0,224000;-0,0490;0,1092;0,9775;0,985
0,229000;-0,0478;0,1082;0,9792;0,986
0,234000;-0,0471;0,1087;0,9807;0,988
0,249000;-0,0475;0,1082;0,9760;0,983
0,250000;-0,0451;0,1053;0,9797;0,986
0,250000;-0,0473;0,1082;0,9775;0,985
0,276000;-0,0485;0,1080;0,9782;0,985
0,277000;-0,0471;0,1067;0,9782;0,985
0,278000;-0,0466;0,1077;0,9785;0,985
0,278000;-0,0493;0,1089;0,9797;0,987
0,278000;-0,0493;0,1099;0,9819;0,989
0,280000;-0,0458;0,1082;0,9804;0,987
0,285000;-0,0461;0,1082;0,9760;0,983
0,299000;-0,0522;0,1094;0,9760;0,984
0,300000;-0,0507;0,1089;0,9790;0,986
0,300000;-0,0461;0,1084;0,9799;0,987
0,305000;-0,0483;0,1077;0,9799;0,987
0,310000;-0,0502;0,1094;0,9787;0,986
0,315000;-0,0471;0,1084;0,9790;0,986
0,320000;-0,0468;0,1084;0,9768;0,984
0,325000;-0,0429;0,1070;0,9773;0,984
0,330000;-0,0436;0,1080;0,9768;0,984
0,335000;-0,0468;0,1072;0,9755;0,983
0,347000;-0,0471;0,1082;0,9809;0,988
0,348000;-0,0461;0,1109;0,9807;0,988
0,350000;-0,0490;0,1087;0,9819;0,989
0,355000;-0,0461;0,1062;0,9817;0,988
0,360000;-0,0475;0,1075;0,9799;0,987
0,365000;-0,0490;0,1067;0,9751;0,982
0,373000;-0,0495;0,1089;0,9755;0,983
0,375000;-0,0475;0,1062;0,9804;0,987
0,380000;-0,0478;0,1080;0,9836;0,991
0,386000;-0,0493;0,1116;0,9846;0,992
0,391000;-0,0466;0,1114;0,9804;0,988
0,395000;-0,0475;0,1094;0,9792;0,986
0,400000;-0,0485;0,1089;0,9836;0,991
0,405000;-0,0458;0,1065;0,9819;0,989
0,411000;-0,0471;0,1111;0,9797;0,987
0,416000;-0,0461;0,1097;0,9782;0,985
0,423000;-0,0456;0,1092;0,9826;0,990
0,426000;-0,0480;0,1060;0,9821;0,989
0,431000;-0,0453;0,1094;0,9807;0,988
0,437000;-0,0475;0,1094;0,9809;0,988
0,451000;-0,0478;0,1084;0,9824;0,990
0,452000;-0,0493;0,1109;0,9817;0,989
0,452000;-0,0480;0,1072;0,9773;0,984
0,458000;-0,0478;0,1089;0,9777;0,985
0,462000;-0,0456;0,1084;0,9831;0,990
0,467000;-0,0466;0,1065;0,9817;0,989
0,478000;-0,0471;0,1087;0,9777;0,985
0,479000;-0,0507;0,1082;0,9790;0,986
0,482000;-0,0500;0,1072;0,9799;0,987
0,489000;-0,0466;0,1097;0,9812;0,988
0,492000;-0,0463;0,1070;0,9775;0,984
0,497000;-0,0473;0,1067;0,9770;0,984
0,503000;-0,0500;0,1055;0,9812;0,988
0,508000;-0,0475;0,1065;0,9802;0,987
0,512000;-0,0507;0,1094;0,9777;0,985
0,517000;-0,0473;0,1109;0,9768;0,984
0,535000;-0,0456;0,1080;0,9819;0,989
0,536000;-0,0493;0,1065;0,9795;0,986
0,536000;-0,0478;0,1070;0,9812;0,988
0,539000;-0,0495;0,1067;0,9780;0,985
0,542000;-0,0480;0,1067;0,9755;0,983
0,548000;-0,0466;0,1082;0,9770;0,984
0,553000;-0,0495;0,1075;0,9792;0,986
0,561000;-0,0517;0,1062;0,9817;0,989
0,563000;-0,0475;0,1067;0,9760;0,983
0,568000;-0,0456;0,1089;0,9817;0,989
0,573000;-0,0497;0,1072;0,9817;0,989
0,578000;-0,0485;0,1077;0,9780;0,985
0,583000;-0,0478;0,1082;0,9775;0,985
0,589000;-0,0512;0,1099;0,9787;0,986
0,593000;-0,0500;0,1077;0,9780;0,985
0,598000;-0,0475;0,1080;0,9782;0,985
0,605000;-0,0497;0,1089;0,9824;0,990
0,608000;-0,0502;0,1094;0,9760;0,983
0,613000;-0,0473;0,1092;0,9814;0,989
0,618000;-0,0466;0,1070;0,9770;0,984
0,624000;-0,0463;0,1070;0,9773;0,984
0,629000;-0,0483;0,1075;0,9824;0,989
0,635000;-0,0473;0,1077;0,9792;0,986
0,652000;-0,0505;0,1087;0,9792;0,987
0,653000;-0,0483;0,1080;0,9775;0,985
0,654000;-0,0480;0,1082;0,9802;0,987
0,655000;-0,0475;0,1092;0,9785;0,986
0,659000;-0,0473;0,1094;0,9826;0,990
0,664000;-0,0473;0,1075;0,9802;0,987
0,669000;-0,0480;0,1077;0,9790;0,986
0,674000;-0,0468;0,1082;0,9807;0,988
0,679000;-0,0490;0,1094;0,9792;0,987
0,684000;-0,0502;0,1089;0,9797;0,987
0,690000;-0,0502;0,1060;0,9765;0,984
0,694000;-0,0466;0,1062;0,9763;0,983
0,699000;-0,0456;0,1080;0,9792;0,986
0,705000;-0,0490;0,1065;0,9790;0,986
0,709000;-0,0490;0,1082;0,9802;0,987
0,714000;-0,0493;0,1060;0,9799;0,987
0,720000;-0,0493;0,1087;0,9819;0,989
0,726000;-0,0510;0,1102;0,9782;0,986
0,730000;-0,0495;0,1077;0,9782;0,985
0,735000;-0,0471;0,1089;0,9770;0,984
0,748000;-0,0493;0,1087;0,9804;0,988
0,749000;-0,0473;0,1087;0,9812;0,988
0,750000;-0,0512;0,1102;0,9797;0,987
0,755000;-0,0505;0,1102;0,9807;0,988
0,760000;-0,0478;0,1072;0,9809;0,988
0,765000;-0,0475;0,1087;0,9775;0,985
0,771000;-0,0505;0,1077;0,9795;0,987
0,775000;-0,0495;0,1087;0,9780;0,985
0,780000;-0,0488;0,1058;0,9809;0,988
0,785000;-0,0485;0,1077;0,9817;0,989
0,790000;-0,0497;0,1082;0,9826;0,990
0,795000;-0,0507;0,1084;0,9809;0,988
0,800000;-0,0490;0,1089;0,9831;0,990
0,805000;-0,0471;0,1080;0,9809;0,988
0,810000;-0,0480;0,1092;0,9809;0,988
0,815000;-0,0507;0,1080;0,9785;0,986
0,821000;-0,0471;0,1089;0,9777;0,985
0,825000;-0,0463;0,1082;0,9763;0,983
0,830000;-0,0466;0,1084;0,9795;0,987
0,836000;-0,0488;0,1099;0,9787;0,986
0,841000;-0,0466;0,1097;0,9768;0,984
0,846000;-0,0510;0,1116;0,9841;0,992
0,851000;-0,0485;0,1092;0,9841;0,991
0,863000;-0,0502;0,1087;0,9804;0,988
0,863000;-0,0480;0,1075;0,9799;0,987
0,866000;-0,0485;0,1075;0,9782;0,985
0,871000;-0,0495;0,1084;0,9773;0,984
0,876000;-0,0473;0,1080;0,9804;0,987
0,881000;-0,0461;0,1080;0,9777;0,985
0,886000;-0,0463;0,1084;0,9797;0,987
0,892000;-0,0488;0,1089;0,9829;0,990
0,897000;-0,0483;0,1099;0,9795;0,987
0,902000;-0,0514;0,1084;0,9799;0,987
0,907000;-0,0480;0,1077;0,9809;0,988
0,912000;-0,0456;0,1053;0,9807;0,987
0,917000;-0,0463;0,1072;0,9817;0,989
0,922000;-0,0512;0,1089;0,9782;0,986
0,927000;-0,0505;0,1099;0,9817;0,989
0,933000;-0,0471;0,1089;0,9814;0,989
0,940000;-0,0478;0,1106;0,9785;0,986
0,943000;-0,0480;0,1089;0,9797;0,987
0,948000;-0,0485;0,1075;0,9797;0,987
0,954000;-0,0475;0,1077;0,9787;0,986
0,971000;-0,0475;0,1089;0,9795;0,987
0,973000;-0,0493;0,1087;0,9792;0,986
0,974000;-0,0497;0,1089;0,9787;0,986
0,974000;-0,0480;0,1082;0,9804;0,988
0,978000;-0,0485;0,1075;0,9802;0,987
0,983000;-0,0502;0,1094;0,9843;0,992
0,990000;-0,0485;0,1075;0,9819;0,989
0,993000;-0,0495;0,1060;0,9768;0,984
0,998000;-0,0475;0,1099;0,9782;0,986
1,003000;-0,0453;0,1099;0,9758;0,983
1,008000;-0,0478;0,1062;0,9773;0,984
1,013000;-0,0497;0,1082;0,9777;0,985
1,019000;-0,0468;0,1080;0,9765;0,984
1,024000;-0,0475;0,1065;0,9790;0,986
1,029000;-0,0478;0,1077;0,9799;0,987
1,035000;-0,0495;0,1089;0,9790;0,986
1,057000;-0,0493;0,1072;0,9787;0,986
1,059000;-0,0485;0,1072;0,9785;0,986
1,059000;-0,0493;0,1097;0,9780;0,985
1,060000;-0,0463;0,1099;0,9792;0,986
1,067000;-0,0475;0,1072;0,9792;0,986
1,069000;-0,0480;0,1077;0,9817;0,989
1,070000;-0,0471;0,1082;0,9817;0,989
1,084000;-0,0471;0,1102;0,9792;0,987
1,085000;-0,0461;0,1075;0,9792;0,986
1,086000;-0,0471;0,1067;0,9795;0,986
1,093000;-0,0473;0,1087;0,9799;0,987
1,095000;-0,0480;0,1075;0,9758;0,983
1,099000;-0,0480;0,1080;0,9775;0,985
1,105000;-0,0478;0,1084;0,9821;0,989
1,109000;-0,0483;0,1070;0,9802;0,987
1,115000;-0,0485;0,1080;0,9763;0,983
1,119000;-0,0500;0,1087;0,9775;0,985
1,136000;-0,0483;0,1089;0,9812;0,988
1,137000;-0,0478;0,1072;0,9802;0,987
1,138000;-0,0475;0,1092;0,9804;0,988
1,140000;-0,0483;0,1092;0,9819;0,989
1,145000;-0,0493;0,1080;0,9790;0,986
1,150000;-0,0475;0,1080;0,9780;0,985
1,155000;-0,0480;0,1070;0,9792;0,986
1,160000;-0,0456;0,1062;0,9831;0,990
1,165000;-0,0461;0,1080;0,9807;0,988
1,170000;-0,0461;0,1097;0,9782;0,985
1,182000;-0,0473;0,1067;0,9777;0,985
1,184000;-0,0512;0,1087;0,9819;0,989
1,186000;-0,0505;0,1102;0,9817;0,989
1,203000;-0,0468;0,1065;0,9799;0,987
1,204000;-0,0497;0,1104;0,9775;0,985
1,205000;-0,0522;0,1119;0,9787;0,986
1,205000;-0,0478;0,1089;0,9797;0,987
1,210000;-0,0458;0,1062;0,9807;0,987
1,216000;-0,0483;0,1087;0,9802;0,987
1,222000;-0,0490;0,1092;0,9809;0,988
1,226000;-0,0488;0,1080;0,9802;0,987
1,231000;-0,0497;0,1072;0,9785;0,986
1,236000;-0,0507;0,1102;0,9780;0,985
1,244000;-0,0490;0,1106;0,9785;0,986
1,247000;-0,0485;0,1067;0,9814;0,988
1,251000;-0,0510;0,1099;0,9812;0,989
1,269000;-0,0488;0,1082;0,9824;0,990
1,271000;-0,0478;0,1060;0,9809;0,988
1,271000;-0,0505;0,1077;0,9814;0,989
1,272000;-0,0488;0,1075;0,9795;0,987
1,276000;-0,0451;0,1070;0,9785;0,985
1,283000;-0,0493;0,1070;0,9821;0,989
1,289000;-0,0505;0,1087;0,9826;0,990
1,292000;-0,0473;0,1111;0,9736;0,981
1,296000;-0,0483;0,1099;0,9797;0,987
1,302000;-0,0493;0,1060;0,9814;0,988
1,309000;-0,0471;0,1075;0,9785;0,985
1,312000;-0,0490;0,1089;0,9790;0,986
1,317000;-0,0490;0,1082;0,9797;0,987
1,323000;-0,0502;0,1092;0,9812;0,988
1,327000;-0,0493;0,1097;0,9780;0,985
1,332000;-0,0510;0,1077;0,9807;0,988
1,354000;-0,0507;0,1080;0,9775;0,985
1,355000;-0,0473;0,1062;0,9802;0,987
1,356000;-0,0519;0,1062;0,9819;0,989
1,356000;-0,0485;0,1082;0,9782;0,985
1,357000;-0,0471;0,1067;0,9802;0,987
1,363000;-0,0466;0,1055;0,9780;0,985
1,381000;-0,0488;0,1077;0,9785;0,986
1,383000;-0,0490;0,1082;0,9780;0,985
1,383000;-0,0485;0,1094;0,9834;0,991
1,383000;-0,0502;0,1104;0,9807;0,988
1,389000;-0,0519;0,1038;0,9795;0,986
1,393000;-0,0497;0,1089;0,9782;0,986
1,398000;-0,0495;0,1089;0,9780;0,985
1,404000;-0,0471;0,1084;0,9799;0,987
